unique_key,created_date,complaint_type,descriptor,borough,community_district,resolution_description,latitude,longitude
59892002,2024-01-01,Rodent,Signs of Rodents,MANHATTAN,MANHATTAN 11,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.80143454654757,-73.93443230896085
59900658,2024-01-01,Rodent,Rat Sighting,MANHATTAN,MANHATTAN 08,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.77577312809063,-73.94889258096401
59899854,2024-01-01,Rodent,Signs of Rodents,MANHATTAN,MANHATTAN 11,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.80143454654757,-73.93443230896085
59896289,2024-01-01,Rodent,Rat Sighting,MANHATTAN,MANHATTAN 06,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.74970921363347,-73.97398168706088
59898939,2024-01-01,Rodent,Rat Sighting,MANHATTAN,MANHATTAN 07,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.78594303445579,-73.97630030310435
59896292,2024-01-01,Rodent,Rat Sighting,MANHATTAN,MANHATTAN 08,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.77137797005714,-73.95340524110169
59897138,2024-01-01,Rodent,Mouse Sighting,MANHATTAN,MANHATTAN 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.77456370947024,-73.97805905118221
59897137,2024-01-01,Rodent,Condition Attracting Rodents,MANHATTAN,MANHATTAN 07,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.78594303445579,-73.97630030310435
59900660,2024-01-01,Rodent,Signs of Rodents,MANHATTAN,MANHATTAN 10,,40.825201195767306,-73.93964808609853
59899853,2024-01-01,Rodent,Signs of Rodents,MANHATTAN,MANHATTAN 10,,40.825201195767306,-73.93964808609853
59899845,2024-01-01,Rodent,Condition Attracting Rodents,MANHATTAN,MANHATTAN 10,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.80660281936858,-73.94482682483267
