unique_key,created_date,complaint_type,descriptor,borough,community_district,resolution_description,latitude,longitude
52939104,2022-01-01,Rodent,Rat Sighting,BRONX,BRONX 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.8731930336051,-73.87540515130969
52939797,2022-01-01,Rodent,Rat Sighting,BRONX,BRONX 05,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.85846690882781,-73.90648599949424
52940453,2022-01-01,Rodent,Rat Sighting,BRONX,BRONX 11,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.84795732718087,-73.86023185378244
52939794,2022-01-01,Rodent,Condition Attracting Rodents,BRONX,BRONX 12,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.878305031663054,-73.83494555762553
52942542,2022-01-01,Rodent,Rat Sighting,BRONX,BRONX 08,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.89142103163324,-73.89832345332671
52943854,2022-01-01,Rodent,Rat Sighting,BRONX,BRONX 06,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.85018459258685,-73.89213684879469
52940452,2022-01-01,Rodent,Rat Sighting,BRONX,BRONX 04,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.83134260317883,-73.92788756492703
52941902,2022-01-01,Rodent,Rat Sighting,BRONX,BRONX 04,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.83124658342736,-73.92795994033979
52943914,2022-01-01,Rodent,Rat Sighting,BRONX,BRONX 11,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.86543760514042,-73.86655826827068
52939823,2022-01-01,Rodent,Signs of Rodents,BRONX,BRONX 07,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.86181526778721,-73.90294921241792
52942530,2022-01-01,Rodent,Rat Sighting,BRONX,BRONX 07,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.875358243079454,-73.88847281325883
52939118,2022-01-01,Rodent,Rat Sighting,BRONX,BRONX 02,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.82645342232146,-73.88883300737875
52941901,2022-01-01,Rodent,Mouse Sighting,BRONX,BRONX 01,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.81524586870917,-73.92108423191426
52942578,2022-01-01,Rodent,Rat Sighting,BRONX,BRONX 05,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.85564372048748,-73.90449093274638
52939838,2022-01-01,Rodent,Condition Attracting Rodents,BRONX,BRONX 02,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.81835478081547,-73.89580853392907
52939138,2022-01-01,Rodent,Mouse Sighting,BRONX,BRONX 09,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.82731544703092,-73.880773784151
52944424,2022-01-02,Rodent,Rat Sighting,BRONX,BRONX 07,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.87532806547161,-73.88848732773532
52947646,2022-01-02,Rodent,Condition Attracting Rodents,BRONX,BRONX 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.866166649878096,-73.90418658215627
52946775,2022-01-02,Rodent,Rat Sighting,BRONX,BRONX 09,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.83015199855957,-73.85329879285057
52944459,2022-01-02,Rodent,Rat Sighting,BRONX,BRONX 07,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.873487863533526,-73.87906385438798
52946774,2022-01-02,Rodent,Rat Sighting,BRONX,BRONX 06,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.85018459258685,-73.89213684879469
52945950,2022-01-02,Rodent,Rat Sighting,BRONX,BRONX 09,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.82415532063795,-73.8626448718532
52946773,2022-01-02,Rodent,Rat Sighting,BRONX,BRONX 07,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.87382451123708,-73.87558837808942
52948466,2022-01-03,Rodent,Rat Sighting,BRONX,BRONX 04,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.82794291286869,-73.91713780675632
52958525,2022-01-03,Rodent,Signs of Rodents,BRONX,BRONX 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.87381675716752,-73.88125448121541
52956049,2022-01-03,Rodent,Rat Sighting,BRONX,BRONX 12,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.89806185665373,-73.86729217304035
52953710,2022-01-03,Rodent,Rat Sighting,BRONX,BRONX 11,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.843555685437515,-73.86796111635788
52954997,2022-01-03,Rodent,Rat Sighting,BRONX,BRONX 07,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.87458534653558,-73.87610403175643
52957282,2022-01-03,Rodent,Rat Sighting,BRONX,BRONX 08,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.89142103163324,-73.89832345332671
52959878,2022-01-03,Rodent,Rat Sighting,BRONX,BRONX 02,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.81692809782586,-73.90274732610149
52957202,2022-01-03,Rodent,Condition Attracting Rodents,BRONX,BRONX 11,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.863632054039634,-73.86936015652766
52957374,2022-01-03,Rodent,Rat Sighting,BRONX,BRONX 06,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.846759480267366,-73.89243878444907
52951487,2022-01-03,Rodent,Rat Sighting,BRONX,BRONX 11,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.86366224567893,-73.869360097218
52954882,2022-01-03,Rodent,Rat Sighting,BRONX,BRONX 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.868640965062774,-73.89028464853516
52952442,2022-01-03,Rodent,Mouse Sighting,BRONX,BRONX 05,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.852160244195126,-73.91078913475253
52961186,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 07,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.88239015743386,-73.88294246874136
52964881,2022-01-04,Rodent,Signs of Rodents,BRONX,BRONX 11,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.85666435767837,-73.8655419945208
52969813,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 11,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.85666435767837,-73.8655419945208
52964757,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 01,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.82076293374256,-73.91007972221549
52969754,2022-01-04,Rodent,Signs of Rodents,BRONX,BRONX 02,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.814826900292545,-73.9010018610719
52963631,2022-01-04,Rodent,Condition Attracting Rodents,BRONX,BRONX 07,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.877385676249666,-73.88205087634928
52961277,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.85100126835157,-73.90642781729716
52961288,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 05,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.850796000376064,-73.914242935988
52961299,2022-01-04,Rodent,Condition Attracting Rodents,BRONX,BRONX 05,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.85082349574877,-73.91430796390154
52964723,2022-01-04,Rodent,Signs of Rodents,BRONX,BRONX 02,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.81893932615144,-73.88698130286163
52969723,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 04,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.83140570217008,-73.9278405200525
52967362,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.851606301604434,-73.92288819061721
52964739,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 03,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.82507828527606,-73.90407953706679
52962311,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 04,"An inspection of this property was conducted and violations were identified. The owner is correcting the condition. If the condition persists, please submit another complaint to 311.",40.841844498389676,-73.92458008252996
52969752,2022-01-04,Rodent,Mouse Sighting,BRONX,BRONX 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.87671687372561,-73.8802621227146
52968516,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 09,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.8272654799971,-73.87505754877036
52963512,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 06,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.849329193408714,-73.8902333674608
52961285,2022-01-04,Rodent,Condition Attracting Rodents,BRONX,BRONX 11,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.86366224567893,-73.869360097218
52962323,2022-01-04,Rodent,Rat Sighting,BRONX,BRONX 03,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.83064127306672,-73.89707209910566
52967361,2022-01-04,Rodent,Mouse Sighting,BRONX,BRONX 08,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.87251709736538,-73.90325178389223
52976735,2022-01-05,Rodent,Rat Sighting,BRONX,BRONX 07,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.88240811038497,-73.87905847713522
52977988,2022-01-05,Rodent,Rat Sighting,BRONX,BRONX 03,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.83277609479995,-73.9060559474111
52975632,2022-01-05,Rodent,Rat Sighting,BRONX,BRONX 02,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.81895579799021,-73.88698488778886
52972244,2022-01-05,Rodent,Rat Sighting,BRONX,BRONX 08,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.88399109609258,-73.88930096067385
52973451,2022-01-05,Rodent,Rat Sighting,BRONX,BRONX 05,,40.84755694305569,-73.91023506807123
