unique_key,created_date,complaint_type,descriptor,borough,community_district,resolution_description,latitude,longitude
52939796,2022-01-01,Rodent,Rat Sighting,QUEENS,QUEENS 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.70126512885445,-73.89712037396146
52943263,2022-01-01,Rodent,Rat Sighting,QUEENS,QUEENS 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.69777882251277,-73.9062317474315
52941122,2022-01-01,Rodent,Rat Sighting,QUEENS,QUEENS 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.697638974503256,-73.9063978351334
52939840,2022-01-01,Rodent,Condition Attracting Rodents,QUEENS,QUEENS 07,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.76648988619843,-73.81808571621161
52941878,2022-01-01,Rodent,Mouse Sighting,QUEENS,QUEENS 13,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.707244732242316,-73.74711660468505
52939117,2022-01-01,Rodent,Mouse Sighting,QUEENS,QUEENS 12,An inspection of the property was conducted and it passed with minor violations found.,40.70312296168753,-73.78687373740496
52946794,2022-01-02,Rodent,Rat Sighting,QUEENS,QUEENS 07,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.761088613338465,-73.80010216353736
52950175,2022-01-02,Rodent,Rat Sighting,QUEENS,QUEENS 03,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.75472813626883,-73.87549318682797
52946021,2022-01-02,Rodent,Rat Sighting,QUEENS,QUEENS 06,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.7193491704373,-73.84262277024277
52944430,2022-01-02,Rodent,Rat Sighting,QUEENS,QUEENS 01,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.775536470711685,-73.90810083514367
52946800,2022-01-02,Rodent,Mouse Sighting,QUEENS,QUEENS 14,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.585520498086716,-73.82297461373709
52949317,2022-01-02,Rodent,Condition Attracting Rodents,QUEENS,QUEENS 03,An inspection of the property was conducted and it passed with minor violations found.,40.75951571720956,-73.89557570284445
52947607,2022-01-02,Rodent,Rat Sighting,QUEENS,QUEENS 05,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.70444048795517,-73.89372878708508
52944460,2022-01-02,Rodent,Rodent Bite - PCS Only,QUEENS,QUEENS 09,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.68858854302494,-73.86651554972256
52949372,2022-01-02,Rodent,Rat Sighting,QUEENS,QUEENS 07,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.76851393472691,-73.8277771029025
52958598,2022-01-03,Rodent,Condition Attracting Rodents,QUEENS,QUEENS 10,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.681461520666836,-73.84550641160807
52959631,2022-01-03,Rodent,Rat Sighting,QUEENS,QUEENS 02,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.74192190654129,-73.89262608106687
52956151,2022-01-03,Rodent,Rodent Bite - PCS Only,QUEENS,QUEENS 05,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.70669832661449,-73.91559331634491
52959859,2022-01-03,Rodent,Mouse Sighting,QUEENS,QUEENS 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.69800544306388,-73.90151432775261
52958480,2022-01-03,Rodent,Mouse Sighting,QUEENS,QUEENS 08,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.71206223113423,-73.8084806261523
