unique_key,created_date,complaint_type,descriptor,borough,community_district,resolution_description,latitude,longitude
59897135,2024-01-01,Rodent,Condition Attracting Rodents,STATEN ISLAND,STATEN ISLAND 01,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.63179017227194,-74.12420539685647
59898942,2024-01-02,Rodent,Rat Sighting,STATEN ISLAND,STATEN ISLAND 01,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.61709759644645,-74.08076344828132
59903072,2024-01-02,Rodent,Rat Sighting,STATEN ISLAND,STATEN ISLAND 01,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.63179017227194,-74.12420539685647
59906921,2024-01-02,Rodent,Rat Sighting,STATEN ISLAND,STATEN ISLAND 02,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.601184865801706,-74.06529181227896
59908204,2024-01-02,Rodent,Rat Sighting,STATEN ISLAND,STATEN ISLAND 01,,40.63204118213305,-74.1329209969612
59908197,2024-01-02,Rodent,Rat Sighting,STATEN ISLAND,STATEN ISLAND 02,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.56711404252901,-74.11940967652112
59903075,2024-01-02,Rodent,Rat Sighting,STATEN ISLAND,STATEN ISLAND 01,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.63233177075056,-74.13323141648188
59901773,2024-01-02,Rodent,Rat Sighting,STATEN ISLAND,STATEN ISLAND 01,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.63171919863888,-74.13364811444248
59917295,2024-01-03,Rodent,Condition Attracting Rodents,STATEN ISLAND,STATEN ISLAND 01,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.610650729277815,-74.14451527167866
59923887,2024-01-04,Rodent,Rat Sighting,STATEN ISLAND,STATEN ISLAND 01,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.62719248966374,-74.16569429954056
59925205,2024-01-05,Rodent,Rat Sighting,STATEN ISLAND,STATEN ISLAND 01,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.640048187790164,-74.11186534358522
59938640,2024-01-05,Rodent,Mouse Sighting,STATEN ISLAND,STATEN ISLAND 01,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.64578042862872,-74.08107563835499
59937262,2024-01-05,Rodent,Signs of Rodents,STATEN ISLAND,STATEN ISLAND 02,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.57770975351269,-74.11042179030885
59945846,2024-01-06,Rodent,Signs of Rodents,STATEN ISLAND,STATEN ISLAND 03,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.549249825529095,-74.19766643359657
59955695,2024-01-07,Rodent,Condition Attracting Rodents,STATEN ISLAND,STATEN ISLAND 01,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.61018666943262,-74.14683009912835
59951649,2024-01-07,Rodent,Mouse Sighting,STATEN ISLAND,STATEN ISLAND 01,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",40.62357610137024,-74.10963671520958
59951645,2024-01-07,Rodent,Condition Attracting Rodents,STATEN ISLAND,STATEN ISLAND 01,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.63179017227194,-74.12420539685647
59965180,2024-01-08,Rodent,Condition Attracting Rodents,STATEN ISLAND,STATEN ISLAND 01,An inspection of the property was conducted and it passed with minor violations found.,40.62937986420728,-74.1111701656222
59958481,2024-01-08,Rodent,Rat Sighting,STATEN ISLAND,STATEN ISLAND 01,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.64578042862872,-74.08107563835499
59962496,2024-01-08,Rodent,Condition Attracting Rodents,STATEN ISLAND,STATEN ISLAND 01,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.62093122551881,-74.08196040894897
59971883,2024-01-09,Rodent,Condition Attracting Rodents,STATEN ISLAND,STATEN ISLAND 01,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.64578042862872,-74.08107563835499
